!SIL 1.0	SIL
<UNK> 1.0	SPN
<laughter> 1.0	LAU
<music> 1.0	MUS
a 1.0	a
a(2) 1.0	e
aa 1.0	a a
aaa 1.0	a a a
aaa(2) 1.0	t r i p e l e y
aaah 1.0	a a a h
aachane 1.0	a a CC a n e
aache 1.0	a a CC e
aachie 1.0	a a CC i e
aachiliwe 1.0	a a CC i l i w e
aachiwe 1.0	a a CC i w e
aachwe 1.0	a a CC w e
aadhibiwe 1.0	a a LL i b i w e
aagize 1.0	a a g i z e
aah 1.0	a a h
aajiriwe 1.0	a a j i r i w e
aam 1.0	a a m
aam(4) 1.0	a a m u
aambiwe 1.0	a a BB i w e
aamini 1.0	a a m i n i
aamke 1.0	a a m k e
aamua 1.0	a a m u a
aamue 1.0	a a m u e
aamuru 1.0	a a m u r u
aandae 1.0	a a DD a e
aandike 1.0	a a DD i k e
aandikishwe 1.0	a a DD i k i SS w e
aangalie 1.0	a a GG a l i e
aanguke 1.0	a a GG u k e
aanza 1.0	a a ZZ a
aanze 1.0	a a ZZ e
aanzie 1.0	a a ZZ i e
aanzishe 1.0	a a ZZ i SS e
aaron 1.0	a a r o n
aaron(2) 1.0	e r e n
aaron(4) 1.0	a a r o n i
ab 1.0	a b
ab(2) 1.0	a b
ab(4) 1.0	a b u
aba 1.0	a b a
ababa 1.0	a b a b a
ababa(2) 1.0	e b a b e
ababu 1.0	a b a b u
abacha 1.0	a b a CC a
abacha(2) 1.0	a b e k e
abadan 1.0	a b a d a n
abadan(4) 1.0	a b a d a n i
abadili 1.0	a b a d i l i
abadilike 1.0	a b a d i l i k e
abadilishe 1.0	a b a d i l i SS e
abaki 1.0	a b a k i
abakie 1.0	a b a k i e
abas 1.0	a b a s
abas(4) 1.0	a b a s i
abasi 1.0	a b a s i
abass 1.0	a b a s s
abass(4) 1.0	a b a s s i
abba 1.0	a b b a
abba(2) 1.0	a b e
abba(3) 1.0	e b i b i e
abbas 1.0	a b b a s
abbas(2) 1.0	e b a s
abbas(4) 1.0	a b b a s i
abbey 1.0	a b b e y
abbey(2) 1.0	a b i
abbott 1.0	a b b o t t
abbott(2) 1.0	a b e t
abbott(4) 1.0	a b b o t t i
abby 1.0	a b b y
abby(2) 1.0	a b i
abby(3) 1.0	e b i b i w a y
abc 1.0	a b k
abc(3) 1.0	e b i s i
abc(4) 1.0	a b k i
abd 1.0	a b d
abd(3) 1.0	e b i d i
abd(4) 1.0	a b d i
abdala 1.0	a b d a l a
abdalah 1.0	a b d a l a h
abdalla 1.0	a b d a l l a
abdalla(2) 1.0	a b d a l e
abdallah 1.0	a b d a l l a h
abdallah(2) 1.0	a b d a l e
abdel 1.0	a b d e l
abdel(2) 1.0	a b d e l
abdel(4) 1.0	a b d e l i
abdelaziz 1.0	a b d e l a z i z
abdelaziz(4) 1.0	a b d e l a z i z i
abdelkader 1.0	a b d e l k a d e r
abdelkader(4) 1.0	a b d e l k a d e r i
abdella 1.0	a b d e l l a
abdella(2) 1.0	a b d e l e
abdelrazik 1.0	a b d e l r a z i k
abdelrazik(4) 1.0	a b d e l r a z i k i
abdi 1.0	a b d i
